nazwa,adres,latitude,longitude,data_otwarcia,data_zamkniecia,status,firma,uwagi
Kasyno Gdańsk Chmielna,ul. Chmielna 10, Gdańsk,54.352,18.646,2020-03-12,,czynne,,
Kasyno Koszalin Zwycięstwa,ul. Zwycięstwa 20-24, Koszalin,54.194,16.172,2021-04-06,,czynne,,
Kasyno Warszawa Krucza,ul. Krucza 28, Warszawa,52.229,21.012,2022-03-10,,czynne,,
Kasyno Warszawa Jerozolimskie,Al. Jerozolimskie 65/79, Warszawa,52.229,21.012,2022-09-01,,czynne,,Złote Tarasy
Kasyno Warszawa Senatorska,ul. Senatorska 13/15, Warszawa,52.235,21.008,2022-09-01,,czynne,,
Kasyno Warszawa Królewska,ul. Królewska 11, Warszawa,52.242,21.011,2022-09-01,,czynne,,
Kasyno Bydgoszcz Gdańska,ul. Gdańska 14, Bydgoszcz,53.123,18.008,2022-09-28,,czynne,,
Kasyno Toruń Przedzamcze,ul. Przedzamcze 5, Toruń,53.013,18.598,2022-09-28,,czynne,,
Kasyno Opole Krakowska,ul. Krakowska 57-59, Opole,50.675,17.921,2022-10-25,,czynne,,
Kasyno Elbląg Słowiański,Plac Słowiański 2, Elbląg,54.156,19.404,2022-11-18,,czynne,,
Kasyno Olsztyn Dąbrowszczaków,ul. Dąbrowszczaków 10, Olsztyn,53.778,20.480,2022-11-18,,czynne,,
Kasyno Tarnów Krakowska,ul. Krakowska 9, Tarnów,50.012,20.986,2022-12-09,,czynne,,
Kasyno Lublin Grodzka,ul. Grodzka 30, Lublin,51.246,22.568,2023-03-09,,czynne,,
Kasyno Katowice Korfantego,Al. Korfantego 9, Katowice,50.259,19.022,2023-03-09,,czynne,,
Kasyno Kielce Sienkiewicza,ul. Sienkiewicza 78, Kielce,50.871,20.631,2023-03-16,,czynne,,
Kasyno Rzeszów Rynek,ul. Rynek 13-14, Rzeszów,50.041,22.003,2023-03-16,,czynne,,
Kasyno Sopot Powstańców,ul. Powstańców Warszawy 12/14, Sopot,54.441,18.560,2023-04-27,,czynne,,
Kasyno Białystok Kościuszki,Rynek Kościuszki 11, Białystok,53.132,23.168,2023-06-19,,czynne,,
Kasyno Gdańsk Długi Targ,ul. Długi Targ 14-16, Gdańsk,54.348,18.653,2023-06-28,,czynne,,
Kasyno Szczecin Wyzwolenia,Al. Wyzwolenia 50, Szczecin,53.428,14.553,2023-08-14,,czynne,,
Kasyno Tarnobrzeg Wyszyńskiego,ul. Kardynała Stefana Wyszyńskiego 4, Tarnobrzeg,50.573,21.679,2023-09-06,,czynne,,
Kasyno Stalowa Wola Wyszyńskiego,ul. Ks. Prymasa Wyszyńskiego 12, Stalowa Wola,50.569,22.064,2023-11-21,,czynne,,
Kasyno Wrocław Piłsudskiego,ul. Piłsudskiego 66, Wrocław,51.107,17.038,2023-11-29,,czynne,,
Kasyno Bielawa Korczaka,ul. Janusza Korczaka 1-4, Bielawa,50.691,16.623,2023-11-29,,czynne,,
